title,genre,director,rating
Love in Melbourne,Director: Vinny Pal Production House: Hollybolly Movies Pty Ltd Cast: TBA,Vinny Pal, 
Chowky,Add a Plot,Shekhar Ghosh, 
Chipku,"A renowned actor of Mumbai, got stack in a traffic while on way for shooting. He started to read a story. Story "" The journey "". The story begins with a flashback. Bijoy and Renu, newly ...                See full summary »",Priyanka, 
Banjaara,"It is a musical journey of love in search of one's soulmate, set in the snowy hilly landscapes.",Sudeshna Banerjee, 
The Cross,Add a Plot,Nayeem Sheikh, 
Shatika: The Undraped,"Shatika entails the story of a young beggar, Lali, who in wish to buy sari for her mother - mad about new saris - is forced to sleep with different men for money having find no other way to...                See full summary »",Sritama Dutta, 
Ek Elan-e-jung,Add a Plot,Krishna Vamsi, 
Game Over,"Karaati has been captured and his XLN ray device confiscated by the scientific research department. Meanwhile in Aryanagar, a famous foreign toy company has set up a manufacturing unit to ...                See full summary »",Rajiv Chilaka, 
School Is Cool,Add a Plot,Rajiv Chilaka, 
Trayodash Ki Kahaani,Add a Plot,Rajiv Chilaka, 
Journey to Petra Global,Add a Plot,Rajiv Chilaka, 
The Magnetors,Add a Plot,Rajiv Chilaka, 
Pataliputhra,Add a Plot,Rajiv Chilaka, 
Alien Dost,Add a Plot,Rajiv Chilaka, 
Rio to Goa,Add a Plot,Arvind C. Jadeja, 
Space Race,Add a Plot,Rajiv Chilaka, 
The Serpent King,The film features Serpent King who is in search of a special mantra to gain powers. He must first defeat the King of Vanar Rajya who knows about the mantra and its powers.,Rajiv Chilaka, 
Hello Leo,Add a Plot,Rosauro Adorable, 
Mighty Ka Mighty Attack,Add a Plot,Shyamal Chaulia, 
The Commandos,Add a Plot,Rajiv Chilaka, 
Time Travel,Add a Plot,Shyamal Chaulia, 
Black Future,Add a Plot,Dhruv, 
The Great Pirate,Add a Plot,Rajiv Chilaka, 
Ice Ice Mighty,Add a Plot,Rosauro Adorable, 
Dinosaur World,"Scientist Khojwala finds it difficult to nurture a baby dinosaur. He, with the help of Chotta Bheem and his gang, decides to travel back in time to return the animal to its world.",Sidheswar Shukla, 
Super Bheem Fire and Ice,"At the coronation ceremony of the Fire Prince, an evil queen turns out to be Snow Queen, the arch enemy of Fire Nation. She snatches the special firestone from the king and unleashes her ...                See full summary »",Rajiv Chilaka, 
Hi Jack,Ajay Chachu is visiting and Raju is happy. But a fighter plane with escaped terrorists lands on the air strip of Aryanagar and plan to hijack a plane. Raju appears as Mighty and is shocked ...                See full summary »,Rajiv Chilaka, 
Luv Kushh and the Ghost Army Global,"Luv Kush is the story of the amazing twins of Ram and Sita. This animated movie made for kids depicts their birth, adolescence, their love for the Vedas, their skills in archery and the final confrontation with Ram.",Rajiv Chilaka, 
Mighty Raju vs Mighty Clone,"The History class in school is monotonous and Raju's mischief backfires when the teacher punishes their group with a tough assignment. Working together, the kids comment that studying ...                See full summary »",Rajiv Chilaka, 
Warrior,Add a Plot,Ravi Guddar, 
Mighty Khiladi Raju,"Aryanagar is hosting an inter-school sports competition. Raju and gang prepare as their rival school has a new super champion. Raju decides to participate sincerely, without the use of any ...                See full summary »",Rajiv Chilaka, 
Most Wanted,"Raju is having a peaceful life while Mighty Raju is busy solving crimes and saving people. The government receives intelligence that Bosco and Carlos, two of the world's most-wanted ...                See full summary »",Arpan Sarkar, 
Radio Comes to Rampur,Add a Plot,Asha Dutta, 
Xang Xang Klang,Add a Plot,Col. Kapoor, 
Wrong Mauritius,Bipin lives a paying guest in the house of Viju and Mona and purchases books from old stall. One day the trio find a letter in the book with a unique stamp.Bipin along with Mona and Viju ...                See full summary »,Raghuvir Kulkarni, 
SIXER,Add a Plot,Gul Bahar Singh, 
Uranchoo,Add a Plot,Shivendra Sinha, 
Surabhi,Add a Plot,Vishal Chaturvedi, 
Bandu Boxer,The story of a schoolkid who aims to become a boxer.,Rajeev Mohan, 
Lukka Chuppi,Add a Plot,Vinod Ganatra, 
I Am Not Devdas,Add a Plot,Vishal Taneja, 
Zeenat,"A woman has more to her than what meets the eyes. And if pushed to a corner, she will fight back and how...Zeenat is a story not of one girl but of the whole womankind. It is a saga of ...                See full summary »",Saandesh Nayak, 
Sai V/S I,"The story of the film revolves around love, revenge, mercy & destiny.",Aanuj Tewari, 
Love vs Gangster,"Atithi Devo Bhava means 'The guest is equivalent to God' or 'Be one for whom the guest is God"". Every year there are thousands of people flying down to India either as tourists or as ...                See full summary »",Dhananjay Galani, 
Sher,Add a Plot,Soham Shah, 
Krrish 4,Plot unknown. Fourth installment of the 'Krrish' franchise.,Rakesh Roshan, 
MLA,Add a Plot,Shiv Dube, 
Brunie,The romance between two pariahs - Brunie and Kalu and a story of love between a mother and her daughter.,Suraj Chitre, 
Andaz Tera Mera,"Andaz Tera Mera is a Hindi comedy film, directed by Kumud Pant.Stars Kumud Pant , Atul Sharma, Abdul Zafar and Dimple Kumar.",Kumud Pant, 
Laxman Gole,A criminal's life takes u-turn after reading an autobiographical book of Mahatma Gandhi.,Faisal Hashmi, 
You Are Right Mr Positive +,"In the today's modern era ,when we look to the post independent decades it looks that whether we got Independence in true sense or we just Got only freedom from Britisher's rule . All ...                See full summary »",Anmol, 
Mangal Ho,"An Indian couple who become the first, to set up the first human civilization on the planet Mars.",Pritish Chakraborty, 
Cutting Chai,Youth ambition brings problems.,Flavin Luicien, 
Rocky the Slave,John is a Catholic and cant marry his girlfriend she being a Brahmin.Rocky is the son of his girlfriend whom a business man (Dalip Tahil) has introduced to world of crime since childhood ...                See full summary »,James John, 
Kahani Ek Sangharsh ki,Add a Plot,Anmol, 
A Million Rivers,"A Million Rivers is a surrealist, quasi-narrative fiction film set in South Asia. Themes of fragmentation and fantasy are explored in this black and white contemporary classic: a man with a...                See full summary »",Sarah Singh, 
The Maya Tape,"On the trail of Maya Chudail (witch) locked up in a desolate mental hospital on an island in North East India, TV reporter Devika and Cameraman Saurabh are caught up in the deadly web of Black Magic, Occult, Possessions and Terror.",Nikhil Allug, 
Aamna Saamna,"Mighty Raju is now internationally known and among the many followers of his webpage is Gujan, a theme park owner. However, Gujan's theme parks are not doing well and he decides to build a ...                See full summary »",Rajiv Chilaka, 
Kaaya,Sahil moves in to an old home with his family only to be tangled between the horrifying mysteries of the house and everything is about to change forever.,Akshay Prem Vyas, 
Paradiso,"Paradiso is my second feature film, the first being 'Umformung-The Transformation'. This movie is part of my trilogy 'Search' series, the third film is yet to be made. In Paradiso, I was ...                See full summary »",Sudeep Ranjan Sarkar, 
Mumbai Dreams,Add a Plot,Shivom Yadav, 
Tera Pati Mera Pyaar,Add a Plot,Shivom Yadav, 
Nasha: A Dangerous Attachment,Add a Plot,Rajkumar Patra, 
The Image,"PRATHIMAA SYNOPSIS Prathimaa,a young girl, is living with her mother, brother (Prakash) and grandfather. Grandfather is a traditional Sculptor, and he wants Prakash to learn this art / ...                See full summary »",Sivanandam N, 
Part Time Job,Kanya promises her mother that she will make her brother Sonu a Doctor as her last wish. She works hard to keep her promise and finally manages her brother an admission to a Medical College...                See full summary »,Hriday Shankar, 
Bold & Beautiful Sherni,Wat happens next on the bold and the beautiful with quin and ridge,Dhananjay Galani, 
Taxi 24/7,A struggling actor attempts method acting to bag the role of Taxi Driver in a big banner film. He drives the real Taxi for a night and explores the colourful side of people.,Nagaraja Bhat, 
Garam Padosan,Add a Plot,Kanti Shah, 
Ranjish,Add a Plot,Kanti Shah, 
Nyaay Dansh,Add a Plot,Kanti Shah, 
Yusuf,"This is a story of an auto rickshaw driver Yusuf, who loves this parents and he is equally loved in return, until on terrorist attack changes his life forever.",Himmat Vans, 
Homecoming,A Kannada film Marali Manege (homecoming) is based on a novel by the same name written by Yogesh Master. Love is greater than adamant and relationship is superior to clashes. Vishwa works ...                See full summary »,Yogesh Master, 
Taxi 24/7,A struggling actor attempts method acting to bag the role of Taxi Driver in a big banner film. He drives the real Taxi for a night and explores the colourful side of people.,Nagaraja Bhat, 
After the Last Lecture,Add a Plot,Nagaraja Bhat, 
Kaamwali,Add a Plot,Suresh Jain, 
Nirvana,"The plot revolves around a Mumbai airhostess (Sarika), who comes on a hunting holiday with friend (Naseeruddin) to the Lohardaga house of Nandlal Sahu where Tinnu Anand is also present. ...                See full summary »",Jalal Agha, 
Atrupt,"Atrupt is a conflict story between three open minded spoiled girls, innocent lovers Babu & Sapana and pervert police officer Rajat. it's a thriller game of murder, rape and unimaginable revenge.",Himmat Vans, 
Chattan,A story about A Policeman who sacrifice his life for Law and Duty.,Mukherjee Sudeep, 
Brahmastra Part One: Shiva,First part of superhero trilogy.,Ayan Mukherjee, 
Atyachar Lekin Kab Tak,Add a Plot,Haris Pal, 
Godknows,"While he falls in love with her,she keeps slipping away from him.Their separation seems to be destined.Is there a force above that controls our lives?A mesmerising love story which depicts we are puppets in the hands of God.",Rajdutt Revankar, 
Shabaash Mithu,Indian women's cricket captain Mithali Raj's biopic.,Srijit Mukherji, 
Matsar,Human mind is obscure. It has different virtues and vices within. There's saying in Vedas (The earliest body of Indian scripture) that we should eliminates three flaws that lies within us. ...                See full summary »,Dave Jigar, 
Yahan Ameena Bikti Hai,"The movie is about the real life story of a girl named Ameena from Hyderabad, India, who is victim of human trafficking.",Kumar Raj, 
Artap,Add a Plot,Kumar Raj, 
Do Shabd,Add a Plot,Kumar Raj, 
Kalyug Ki Sita,Add a Plot,Kumar Raj, 
Rahat,Add a Plot,Kumar Raj, 
Sabse Bada Paap,Add a Plot,Kumar Raj, 
Jab Pyar Hua,Add a Plot,Kumar Raj, 
Naya Naya Pyar,Add a Plot,Kumar Raj, 
Zeenat,Add a Plot,Kumar Raj, 
Sab Se Badi Adalat,Add a Plot,Surinder Suri, 
Jaan E Jaana,Add a Plot,Surinder Suri, 
Zanjeeren,Add a Plot,Ravi Tandon, 
Paranormal Worlds: Based On True Events,"A thrilling and spine tingling story of sudden murders with unknown horrifying activities which leads to paranormal investigation of a haunted house, opening up of lot of Hidden secrets of deceit and revenge.",Sanjay Sharma, 
Wish We Were Kids...,We human being try our best to be an adult. Where as the child inside us never dies. The child with in provokes us to take those steps which creates havoc in our life.,Monish Kaushal, 
Kora Badan,Ravi (Firoz) is about to marry Gauri (Reena); Ravi's Mama (Vinod Tripathi) and Mami (Radha) arrange Ravi's wedding with Gauri. But Gauri is still a child and doesn't understand the meaning ...                See full summary »,Kishan Shah, 
Baaghi 4,Fourth installment of Baaghi film series.,Ahmed Khan, 
Beti,Add a Plot,Rajendra Singh 'Atish', 
Chakallaspur,Chakallaspur story narrates how an uneducated Billu get recognition from government for his village and changes lives of villagers from facing difficulties.,Rajnish Jaiswal, 
Kabaddi,Add a Plot,S.P. Nimbawat, 
Ayodhya Mein Lanka,Add a Plot,Raaj Nadar, 
Juliet's X-Tape,Add a Plot,Pravein Birje, 
Dna Mein Gandhiji,Add a Plot,Sandeep Nath, 
Mi'raj,Add a Plot,Tariq Umarr Khan, 
Rang-E-Ishq,Good romantic action drama with super melodious songs,Srinivaas Anjanappa, 
Colony,"Set against the backdrop of heated local elections, five residents of a middle-class Delhi neighborhood confront their secrets and desires, jeopardizing the future of their community forever.",Pulkit Datta, 
Jhootha Pyar:The Naked Truth,Add a Plot,Pulkit Datta, 
Muqaddar: You Will Never Outrun Destiny,"A crime Saga. No matter how hard you try to take destiny in your hands, fates have already been written in blood.",Poras Beniwal, 
Ordinary World,"Ordinary days and ordinary life of an ordinary couple in Mumbai, India.",Krishnendu Sarkar, 
Box,"He thought of terror, terror got him.",Avijit Bose, 
Idgah,Relationships reach greater depths through small gestures and simple acts driven by innocence. 'IDGAH' is an emotive journey between a grandmother and her grandson. It's a beautiful ...                See full summary »,Piyush Panjuani, 
"Dad, I am Watching you","Let me tell you how I came up with this story. My daughter was 8 years old when we moved to India. She started using the word ""look,"" as soon as we landed in India. ""Daddy look at this, ...                See full summary »",Ravi Sadasivuni, 
Hum Baja Bajaa Denge,Add a Plot,Chandra Barot, 
Gutrun Gutargun,THIS STORY RELATES TO SUCH A VILLAGE WHERE THE HOUSES HAVE NO FACILITY OF TOILETS AND THERE ARE TWO DIFFERENT LAWS FOR MEN AND WOMEN RELATING TO FIXATION OF TIME TO GO TO VILLAGE TOILET. IN...                See full summary »,Pratik Sharma, 
Red Light,Add a Plot,Suresh Jain, 
